settlement,url,title,description,image
Ravola,https://warhammerfantasy.fandom.com/wiki/Ravola,Ravola,"Ravola is a bustling Tilean town under Miragliano 's domain, famous for its vineyards which are considered the finest in all Tilea. In 1425 IC, the Prince of Miragliano started negotiations with the Bretonnians under the leadership of the Baron du Bors to end the repeated attacks by Bretonnian nobles on the territory of Tilea.",https://static.wikia.nocookie.net/warhammerfb/images/1/1e/Miragliano_2300_IC.png/revision/latest?cb=20250218124555
Toscania,https://warhammerfantasy.fandom.com/wiki/Toscania,Toscania,A map depicting the Principality of Miragliano in northern Tilea at the time of the Anarchy in ca. 2276 IC. Toscania is a poor village in the north of Tilea south of the Novalone Pass and to the west of Campogrotta. A Dwarf trading post has been established here.,https://static.wikia.nocookie.net/warhammerfb/images/8/85/North_Tilea.png/revision/latest?cb=20210727081641
Udolpho,https://warhammerfantasy.fandom.com/wiki/Udolpho,Udolpho,"Udolpho is a Tilean hamlet of the Principality of Miragliano located near the village of Zeluco. It is reviled as the haunted estate of the House of Udolpho. Some maps of the 23rd century IC indicate Udolpho was once part of the territory of the Principality of Tobaro, on a road which links the weastern city-state with Miragliano.",https://static.wikia.nocookie.net/warhammerfb/images/1/1e/Miragliano_2300_IC.png/revision/latest?cb=20250218124555
Zeluco,https://warhammerfantasy.fandom.com/wiki/Zeluco,Zeluco,"Zeluco, sometime spelled Zelucco, is a wealthy Tilean village of the Principality of Miragliano. It is known mainly for the fearsome and labyrinthine dungeons under Duce Montoni di Zeluco 's fortress.",https://static.wikia.nocookie.net/warhammerfb/images/1/1e/Miragliano_2300_IC.png/revision/latest?cb=20250218124555
Ebino,https://warhammerfantasy.fandom.com/wiki/Ebino,Ebino,Ebino is a Tilean town located in the Principality of Miragliano. The town was built on the River Arena which connects it to Toscania and Ravola to the north. Ebino was originally a fan-made settlement created by the freelance writer Alfred Nuñez Jr..,https://static.wikia.nocookie.net/warhammerfb/images/1/1e/Miragliano_2300_IC.png/revision/latest?cb=20250218124555
Pavona,https://warhammerfantasy.fandom.com/wiki/Pavona,Pavona,"Pavona, officially the Principality of Pavona, sometimes referred to by outsiders as the ""Perfidious Principality of Pavona"", is a prosperous city-state situated in central Tilea. Located almost in the exact centre of Tilea, south of the Trantine Hills on the fertile plains between the River Remo and the Apuccini Mountains, Pavona is blessed by a much milder climate than the lands of the Empire, enjoying almost year round the kindly favours of the warm Tilean sun.",https://static.wikia.nocookie.net/warhammerfb/images/2/28/Pavona%2C_the_Old_World_map.png/revision/latest?cb=20250417190358
Bucollia,,,,
Lambrusco,,,,
Organza,https://warhammerfantasy.fandom.com/wiki/Organza,Organza,"Located in the Apuccini Mountains, Organza is a city-state in Tilea ruled by a duke. Said duke tried to form an alliance with the nearby city of Lumbrusco, asking its ruler, Fabriano of Lumbrusco, to get rid of his most formidable and therefore unpredictable mercenary unit, the company of Ennio Mordini.",https://static.wikia.nocookie.net/warhammerfb/images/2/28/Pavona%2C_the_Old_World_map.png/revision/latest?cb=20250417190358
Astiano,https://warhammerfantasy.fandom.com/wiki/Astiano,Astiano,Astiano is a Tilean town located on the border between the Republic of Remas and the Principality of Pavona. The town is located within the Principality of Pavona. The settlement was built on the River Remo which connects it to both city-states.,https://static.wikia.nocookie.net/warhammerfb/images/2/28/Pavona%2C_the_Old_World_map.png/revision/latest?cb=20250417190358
Malavigna,,,,
Remas,https://warhammerfantasy.fandom.com/wiki/Remas,Remas,"Remas, officially the Republic of Remas and sometimes called the "" Rebellious Republic of Remas "", is a large, prosperous, and ancient city-state located on the western coast of central Tilea. Remas is believed by some academics to have once been the heart and capital city of the ancient Reman Empire, which is thought to have ruled over the southern realms of the Old World, including all of Tilea and Estalia.",https://static.wikia.nocookie.net/warhammerfb/images/8/81/Reman_domains.png/revision/latest?cb=20250218083422
Alcatani,https://warhammerfantasy.fandom.com/wiki/Alcatani,Alcatani,"Alcatani is a poor Tilean hamlet but rich with apples, citrus, vines and olive trees that was once administered by the landowner Roderigo Delmonte. Alcatani's orchards were razed to the ground by the mercenary general, El Cadavo during the 20th century IC. This threw the formerly wealthy Roderigo into poverty, pushing him to become a mercenary along with his workforce, thus forming the renowned Alcatani Fellowship mercenary company.",https://static.wikia.nocookie.net/warhammerfb/images/8/81/Reman_domains.png/revision/latest?cb=20250218083422
Catrazza,https://warhammerfantasy.fandom.com/wiki/Catrazza,Catrazza,"Catrazza is a prosperous Tilean town of the Republic of Remas. The famous mercenary company known as the Birdmen of Catrazza got their name in this town thanks to their great deed. Despite being guarded by many crossbowmen, they succeeded on behalf of a certain Alfeo Romeo of Remas to rescue his lover Isabella Dellecta from the tower.",https://static.wikia.nocookie.net/warhammerfb/images/8/81/Reman_domains.png/revision/latest?cb=20250218083422
Ciarascura,https://warhammerfantasy.fandom.com/wiki/Ciarascura,Ciarascura,"Ciarascura is a bustling Tilean town of the Republic of Remas. The town is home to an old, bent tower commanded by the tyrannical Castellan Dellecta. The town was besieged by a mercenary army in the service of the city-state of Remas.",https://static.wikia.nocookie.net/warhammerfb/images/8/81/Reman_domains.png/revision/latest?cb=20250218083422
Motta Zorella,https://warhammerfantasy.fandom.com/wiki/Motta_Zorella,Motta Zorella,Motta Zorella is a simple Tilean villagge under the Republic of Remas. The battle of Motta Zorella was the first conflict were the Birdmen of Catrazza were employed. They achieved victory by attacking the enemy general from the air and dragging them into captivity without his army being able to prevent them.,https://static.wikia.nocookie.net/warhammerfb/images/8/81/Reman_domains.png/revision/latest?cb=20250218083422
Monte Negro,https://warhammerfantasy.fandom.com/wiki/Monte_Negro,Monte Negro,"Monte Negro is a bustling Tilean town located near the city-state of Remas. It is the birthplace of Prince Giovanni Lanfranchi, once home to the Priory of the Spear -- a former priory of a Myrmidian order of vampire hunters that is now an institution affiliated with the Morrite Fellowship of the Shroud.",https://static.wikia.nocookie.net/warhammerfb/images/8/81/Reman_domains.png/revision/latest?cb=20250218083422
Scintio,https://warhammerfantasy.fandom.com/wiki/Scintio,Scintio,"Scintio is an average village in Tilea under the Principality of Remas. The Alcatani Fellowship fought for its people when it was just a poor village in the 21th century, although the residents could not afford to pay them.",https://static.wikia.nocookie.net/warhammerfb/images/8/81/Reman_domains.png/revision/latest?cb=20250218083422
Vennia,https://warhammerfantasy.fandom.com/wiki/Vennia,Vennia,"Vennia, also called Venni, is a poor Tilean village of the Republic of Remas. [Note 1] Vennia was the location of the so-called Battle of Villa Vennia, one of the three great battles which saw Borgio the Besieger defeat the forces of the city-state of Remas.",https://static.wikia.nocookie.net/warhammerfb/images/8/81/Reman_domains.png/revision/latest?cb=20250218083422
Zorasta,,,,
Stiani,https://warhammerfantasy.fandom.com/wiki/Stiani,Stiani,"Stiani is an inland Tilean town located on the road known as the Via Aurelia, which lies between the larger settlements of Remas and Astiano. The town is ruled by the Republic of Remas. Stiani was originally a fan-made settlement created by the freelance writer Alfred Nuñez Jr..",https://static.wikia.nocookie.net/warhammerfb/images/8/81/Reman_domains.png/revision/latest?cb=20250218083422
Rifraffa,https://warhammerfantasy.fandom.com/wiki/Rifraffa,Rifraffa,"Rifraffa, also sometimes mistakenly spelled Riffraffa, is a Tilean coastal village on the Bay of Remas controlled by the Republic of Remas, famous as the site of the Battle of Rifraffa.",https://static.wikia.nocookie.net/warhammerfb/images/8/81/Reman_domains.png/revision/latest?cb=20250218083422
Sartosa,https://warhammerfantasy.fandom.com/wiki/Sartosa,Sartosa,"Sartosa, formally the Decadent Pirate Principality of Sartosa, known more politely by its swashbuckling inhabitants as the Free City of Sartosa or simply the "" City of Pirates,"" by nearly everyone else, is an anarchic island-stronghold controlled by pirates located south of war-torn Tilea, off the coast of the Tilean city-state of Luccini. This island is a notorious haven for criminals, harbouring all manner of pirates, brigands, lawless mercenaries and anyone else wanting to avoid the notice of the various legitimate powers of the Old World.",https://static.wikia.nocookie.net/warhammerfb/images/5/50/Luccinian_domain.png/revision/latest?cb=20250208083543
Tobaro,https://warhammerfantasy.fandom.com/wiki/Tobaro,Tobaro,"Tobaro, formally the Principality of Tobaro, or Tolarie as it was known to the High Elves, is also called the "" City of Sirens "" or sometimes the "" City of Fools "", and is the only great Tilean city-state on the western shores of the Tilean Sea. The city is also said in some sources, confusingly, to be called "" Vedenza the True "" by those who love her. [Note 1]",https://static.wikia.nocookie.net/warhammerfb/images/0/03/Tobaro_borders.png/revision/latest?cb=20250123201725
Cera-Scuro,https://warhammerfantasy.fandom.com/wiki/Cera-Scuro,Cera-Scuro,"Not to be confused with the Island of Ciarascura. A poor hamlet in Tilean territory, Cera-Scuro was previously a lair of pirates in the Isles of the Sirens, recently conquered by Tobaro. Borgio the besieger was well pleased with Braganaz's Besiegers as an elitè mercenary troop and offered to find them work in return for a cut of their profits.",https://static.wikia.nocookie.net/warhammerfb/images/0/03/Tobaro_borders.png/revision/latest?cb=20250123201725
Vedenza,https://warhammerfantasy.fandom.com/wiki/Vedenza,Vedenza,"Vedenza, officially the Second Republic of Vedenza, is a small, vibrant city-state of Tilea located on the border with Estalia. Vedenza was recently reconquered from Estalian rule and is now under the influence of the much larger city-state of Tobaro, which, according to Imperial scholar Theodosius Schreiber, is itself confusingly called ""Vedenza the True"" by those who truly love her. [Note 1]",https://static.wikia.nocookie.net/warhammerfb/images/0/03/Tobaro_borders.png/revision/latest?cb=20250123201725
Dalmatia,,,,
Trantio,https://warhammerfantasy.fandom.com/wiki/Trantio,Trantio,"Trantio, formally known as the Principality of Trantio, is an upstart, prosperous and turbulent Tilean city-state. A variation of the heraldry of Trantio as shown on a flag of the Trantian Navy as depicted in Man O' War: Corsair and Total War: Warhammer.",https://static.wikia.nocookie.net/warhammerfb/images/2/22/Trantio_domains.png/revision/latest?cb=20250218101837
Ducieso,https://warhammerfantasy.fandom.com/wiki/Ducieso,Ducieso,"Ducieso is a quiet Tilean town in the Trantine Hills near the city-state of Trantio, famed for its skillful stonecutters and for the strange disappearance of its prince, Frenzo Badolphus, a gifted astronomer and astromancer.",https://static.wikia.nocookie.net/warhammerfb/images/2/22/Trantio_domains.png/revision/latest?cb=20250218101837
Terramorta,https://warhammerfantasy.fandom.com/wiki/Terramorta,Terramorta,"Terramorta is a poor Tilean hamlet of the Principality of Trantio and the site of a battle fought before Leopold's Leopard Company made a groundbreaking decision: they vowed to donate part of their income as mercenaries for the reconstruction of the Temple of Lucan and Luccina they had looted in their hometown of Luccini. Since then, the Leopards' luck in battles has become legendary.",https://static.wikia.nocookie.net/warhammerfb/images/2/22/Trantio_domains.png/revision/latest?cb=20250218101837
Torrico,https://warhammerfantasy.fandom.com/wiki/Torrico,Torrico,"Torrico is a tipical village in the sunblessed land of Tilea under the influence of the Principality of Trantio. The infamous Hobgoblin mercenaries General Ghazak Khan made his name as the ""Butcher of Torrico Fields"" here. The Population is still recovering from his raids.",https://static.wikia.nocookie.net/warhammerfb/images/2/22/Trantio_domains.png/revision/latest?cb=20250218101837
Varenna,https://warhammerfantasy.fandom.com/wiki/Varenna,Varenna,"Varenna is a typical Tilean village near the city-state of Trantio that produces grain and wool, but its history is much older and more troubled than one might think. Varenna was originally a town in early Tilea that was destroyed during the Orc and Goblin incursions between 475 and 978 IC. According to legend, the defending mercenary general Justintine of Varenna was the first to come up with the idea of taking the army's treasures in a treasure chest onto the battlefield, as the walls of the town had collapsed as a result of an earthquake and the town could therefore not be held.",https://static.wikia.nocookie.net/warhammerfb/images/2/22/Trantio_domains.png/revision/latest?cb=20250218101837
Viccia,https://warhammerfantasy.fandom.com/wiki/Viccia,Viccia,"Viccia is a poor Tilean hamlet of the Principality of Trantio. Viccia was the location of the Battle of Vittoria Viccia, one of the three great battles which saw Borgio the Besieger defeat the forces of the city-state of Trantio.",https://static.wikia.nocookie.net/warhammerfb/images/2/22/Trantio_domains.png/revision/latest?cb=20250218101837
Scorcio,https://warhammerfantasy.fandom.com/wiki/Scorcio,Scorcio,"Scorcio is a small town in the sun-blessed land of Tilea, and was the location of the Battle of Scorcio. It is not known when this battle took place and who fought against whom, but the location of the battlefield is marked on Tilean maps. The town is ruled by the Principality of Trantio, and lies north of that city between the Trantine Hills and the Gulf of Pearls.",https://static.wikia.nocookie.net/warhammerfb/images/2/22/Trantio_domains.png/revision/latest?cb=20250218101837
Viadaza,https://warhammerfantasy.fandom.com/wiki/Viadaza,Viadaza,"Viadaza is a port town of north-eastern Tilea located on the Gulf of Pearls, ruled by the Principality of Miragliano (as of 2517 IC ). During the Anarchy in the Empire in ca. 2276 IC, Viadaza was governed by the Principality of Trantio.",https://static.wikia.nocookie.net/warhammerfb/images/2/22/Trantio_domains.png/revision/latest?cb=20250218101837
Urbimo,https://warhammerfantasy.fandom.com/wiki/Urbimo,Urbimo,"Urbimo, also known as Urbino, is a large port town in north-eastern Tilea located on the Sea of Trantio that has been ruled in the past by the Republic of Remas, but is currently (as of 2517 IC ) under the control of the Principality of Trantio. It is Trantio's primary outlet on the Tilean Sea.",https://static.wikia.nocookie.net/warhammerfb/images/2/22/Trantio_domains.png/revision/latest?cb=20250218101837
Varieno,https://warhammerfantasy.fandom.com/wiki/Varieno,Varieno,Varieno is an inland Tilean town of the Principality of Trantio on the border of the Trantine Hills. Varieno was originally a fan-made settlement created by the freelance writer Alfred Nuñez Jr.. The town was later confirmed in Warhammer canon with the release of Warhammer: The Old World.,https://static.wikia.nocookie.net/warhammerfb/images/2/22/Trantio_domains.png/revision/latest?cb=20250218101837
Verezzo,https://warhammerfantasy.fandom.com/wiki/Verezzo,Verezzo,"Verezzo, formally the Serene Republic of Verezzo, is a wealthy, Tilean city-state located at the centre of the peninsula. As with Pavona, Verezzo lives pretty much in the shadow of its powerful rivals, especially Remas and Luccini, which have a direct outlet on the Tilean Sea.",https://static.wikia.nocookie.net/warhammerfb/images/b/b2/Verezzo_domains.png/revision/latest?cb=20250213193851
Ciabbatta,https://warhammerfantasy.fandom.com/wiki/Ciabbatta,Ciabbatta,"Ciabbatta, is a poor Tilean village controlled by the Republic of Verezzo. Ciabatta is renowned as the site of a famed battle in Tilea in which Gossippa Lotta ordered his cannons set up on the flanks of his army, which proved to be very advantageous compared to the general's original battle plan -- where they were placed together in the middle of the battleline.",https://static.wikia.nocookie.net/warhammerfb/images/b/b2/Verezzo_domains.png/revision/latest?cb=20250213193851
Nonucci,https://warhammerfantasy.fandom.com/wiki/Nonucci,Nonucci,A map of the Tilean Sea as depicted in Man O' War: Corsair. Each location's name matches those used in the game. The symbols depicting which faction is patrolling each area represents their positions in 2517 IC but are subject to minor changes as the game's campaign progresses. [Note 1],https://static.wikia.nocookie.net/warhammerfb/images/b/b2/Verezzo_domains.png/revision/latest?cb=20250213193851
Riccotta,https://warhammerfantasy.fandom.com/wiki/Riccotta,Riccotta,"Riccotta is a Tilean poor village. Riccotta is reknown for a siege, the defenders included Ogres and Halflings. Since Gossippa Lotta was of the opinion that they would eat twice, if not three times as much as the other mercenaries, she urged the ogres and halflings to get their extra rations, and supplies for the remaining defenders, from the besieging troops.",https://static.wikia.nocookie.net/warhammerfb/images/b/b2/Verezzo_domains.png/revision/latest?cb=20250213193851
Veddia,https://warhammerfantasy.fandom.com/wiki/Veddia,Veddia,"Veddia is a poor Tilean hamlet, also known for the Veddia is renown as the location of the Battle of Via Veddia one of the three great battles which saw Prince Borgio the Besieger of Miragliano as the winner against his rival city-states of Tilea.",https://static.wikia.nocookie.net/warhammerfb/images/b/b2/Verezzo_domains.png/revision/latest?cb=20250213193851
Pugno,https://warhammerfantasy.fandom.com/wiki/Pugno,Pugno,"Pugno is a small Tilean town located inside the domains of the Republic of Verezzo, between the Bay of Wrecks and the upper reaches of the River Luparno, at the foot of the southeast end of the Apuccini Mountains and north of the Monte Castello fortress.",https://static.wikia.nocookie.net/warhammerfb/images/b/b2/Verezzo_domains.png/revision/latest?cb=20250213193851
Sponanti,,,,
Olesi,https://warhammerfantasy.fandom.com/wiki/Olesi,Olesi,Olesi is a port town of the Republic of Verezzo in western Tilea on the Olesi Coast. It acts as an outlet to the Tilean Sea for otherwise land-locked Verezzo. The Tilean Sea as depicted in Man O' War: Corsair.,https://static.wikia.nocookie.net/warhammerfb/images/b/b2/Verezzo_domains.png/revision/latest?cb=20250213193851
Terenne,https://warhammerfantasy.fandom.com/wiki/Terenne,Terenne,"Terenne is a Tilean town located near the Apuccini Mountains in the Republic of Verezzo. The settlement was built near a tributary of the River Riati which connects it to Verezzo, Spomanti and Remas.",https://static.wikia.nocookie.net/warhammerfb/images/b/b2/Verezzo_domains.png/revision/latest?cb=20250213193851
Raverno,https://warhammerfantasy.fandom.com/wiki/Raverno,Raverno,Raverno is a Tilean town located inland between the cities of Luccini and Verezzo. The town is controlled by the Republic of Verezzo. Raverno was originally a fan-made settlement created by the freelance writer Alfred Nuñez Jr..,https://static.wikia.nocookie.net/warhammerfb/images/b/b2/Verezzo_domains.png/revision/latest?cb=20250213193851
Portomaggiore,https://warhammerfantasy.fandom.com/wiki/Portomaggiore,Portomaggiore,Portomaggiore is a large port town of the Republic of Verezzo located on the Sea of Verezzo and serves as its primary outlet on the Tilean Sea. The Tilean Sea as depicted in Man O' War: Corsair. Each location's name matches those used in the game.,https://static.wikia.nocookie.net/warhammerfb/images/b/b2/Verezzo_domains.png/revision/latest?cb=20250213193851
Alimento,https://warhammerfantasy.fandom.com/wiki/Alimento,Alimento,"Alimento is a Tilean cavern-town under the Principality of Miragliano, more specifically positioned in the middle of the Alimento Tunnel under The Vaults. Many adventurers among which the famous mercenaries Gotrek and Felix, have heard of an ancient treasure hidden somewhere In the dwarven ruins beneath what Is now Alimento. Rumours speak about a hidden passage, age-old traps and infiltrating Skaven.",https://static.wikia.nocookie.net/warhammerfb/images/d/d9/River_of_Echoes_v2.png/revision/latest?cb=20210430091213
Scozzese,https://warhammerfantasy.fandom.com/wiki/Scozzese,Scozzese,"Scozzese is a small, independent Tilean city-state allied with Pavona. The "" Men With No Names "" are a group of Roadwardens who patrol the highway between Scozzese and Remas. They are revered in stories and songs by the locals.",https://static.wikia.nocookie.net/warhammerfb/images/2/28/Pavona%2C_the_Old_World_map.png/revision/latest?cb=20250417190358
Agosta,,,,
Abbey of Askara,https://warhammerfantasy.fandom.com/wiki/Abbey_of_Askara,Abbey of Askara,"A pair of savage Manticores devour a Giant. The Abbey of Askara is a religious site of pilgrimage, located within the Principality of Tobaro. Soon before the War of Beasts a party of holy mendicants witnessed a pair of savage Manticores devouring a Giant while on their pilgrimage to the abbey.",https://static.wikia.nocookie.net/warhammerfb/images/4/4a/War_of_beasts_5.png/revision/latest?cb=20210326234040
Alvazzo,https://warhammerfantasy.fandom.com/wiki/Alvazzo,Alvazzo,Alvazzo is either a Tilean or Border Princes fort located near the Apuccini Mountains foothills that was once ruled by the Duke of Alvazzo.,https://static.wikia.nocookie.net/warhammerfb/images/6/69/Tilea1111111.jpg/revision/latest?cb=20131024184643
Apesto,https://warhammerfantasy.fandom.com/wiki/Apesto,Apesto,"Apesto is an ancient Tilean town. The town was saved from a series of terrible earthquakes by the late and respected Master Chanter Alric, ""the Saviour of Apesto."" Alric was aided in the ritual to stop the earthquakes by two other wizards from the Light Order, Apprentice Steiger and Brother Hetzer.",https://static.wikia.nocookie.net/warhammerfb/images/2/2e/Tilea1.jpg/revision/latest?cb=20170627022144
Beronna,https://warhammerfantasy.fandom.com/wiki/Beronna,Beronna,"Beronna is a town of the sunny land of Tilea in the Old World. Beronna is likely located near Pavona. During the End Times a trio of Stormfiends known as the Blackfire Warpack set half the town alight, as they strode down the street with arms outstretched, their Warpfire Throwers blasting out on either side.",https://static.wikia.nocookie.net/warhammerfb/images/2/2e/Tilea1.jpg/revision/latest?cb=20170627022144
Brandy Home,https://warhammerfantasy.fandom.com/wiki/Brandy_Home,Brandy Home,"Brandy Home is a fortified structure of stone located near the summit of the Brenheim Pass in the Vaults, between Tilea and the Empire. Built centuries ago and held by the same Human family since, it is here that, between the spring melt and the autumn frosts, Dwarfs from The Vaults and the western Black Mountains come to trade with Imperials and Tileans, and to sample the inn's famous brandy.",https://static.wikia.nocookie.net/warhammerfb/images/5/52/Karak_Norn_Hirn_Izor_Vaults_region.jpg/revision/latest?cb=20151214011208
Cammaro,https://warhammerfantasy.fandom.com/wiki/Cammaro,Cammaro,"Cammaro was a Tilean village razed to the ground by a Skaven assault. Its entire population vanished following the ratmen 's assault in 2511 IC. After the murder of one of the richest merchant-traders of Cammaro, chaos erupted in the village.",https://static.wikia.nocookie.net/warhammerfb/images/1/1e/Miragliano_2300_IC.png/revision/latest?cb=20250218124555
Captain Tarlozzo's Stand,https://warhammerfantasy.fandom.com/wiki/Captain_Tarlozzo%27s_Stand,Captain Tarlozzo's Stand,,
Castello di Rugazzi,https://warhammerfantasy.fandom.com/wiki/Castello_di_Rugazzi,Castello di Rugazzi,"Castello di Rugazzi is a Tilean castle famous for its vineyards. The place was burned down when the rest of Tilea was destroyed during the End Times. The Goblin chieftain Skarsnik quite probably drank from the last bottle of wine ever created from the castle's vineyard, if not the last bottle ever made in Tilea, but not before checking if it was poisoned by letting one of his Snotlings taste it.",
Castolino,https://warhammerfantasy.fandom.com/wiki/Castolino,Castolino,"Castolino is a town on the slopes of the Trantine Hills in the Tilean Principality of Trantio. During the siege of the town, the forces of the renegade Prince of Castolino Salvatore hurled themselves against the ancient walls of the town to reclaim his right to rule. During the ferocious siege even Torben Badenov 's mercenary band reclaimed part of the glory during the fight, even if for which side is unknown.",https://static.wikia.nocookie.net/warhammerfb/images/2/22/Trantio_domains.png/revision/latest?cb=20250218101837
Decima,https://warhammerfantasy.fandom.com/wiki/Decima,Decima,,
